date,link,channel,title
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/politiek/veel-plannen-nauwelijks-uitvoering~a4246846/
       ",VK:Buitenland,"<title>Veel plannen, nauwelijks uitvoering</title>"
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/lords-moeten-inbinden-wetten-blijven-op-kalfshuid-geschreven~a4246870/
       ",VK:Buitenland,<title>Lords moeten inbinden: wetten blijven op kalfshuid geschreven</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/china-wil-vs-niet-in-zijn-achtertuin~a4246854/
       ",VK:Buitenland,<title>China wil VS niet in zijn achtertuin</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/overleven-in-aleppo~a4246857/
       ",VK:Buitenland,<title>Overleven in Aleppo</title>
"Thu, 18 Feb 2016 00:24:00 GMT","http://www.volkskrant.nl/buitenland/hulpkonvooien-vn-bereiken-belegerde-syrische-steden~a4246874/
       ",VK:Buitenland,<title>Hulpkonvooien VN bereiken belegerde Syrische steden</title>
"Wed, 17 Feb 2016 23:23:00 GMT","http://www.volkskrant.nl/buitenland/eu-overleg-met-turkije-geannuleerd-na-aanslag~a4246847/
       ",VK:Buitenland,<title>EU-overleg met Turkije geannuleerd na aanslag</title>
"Wed, 17 Feb 2016 22:55:00 GMT","http://www.volkskrant.nl/buitenland/aanslag-in-ankara-raakt-turkije-in-het-hart~a4246702/
       ",VK:Buitenland,<title>Aanslag in Ankara raakt Turkije in het hart</title>
"Wed, 17 Feb 2016 21:44:00 GMT","http://www.volkskrant.nl/sport/gent-houdt-hoop-door-twee-late-doelpunten-tegen-wolfsburg~a4246853/
       ",VK:Buitenland,<title>Gent houdt hoop door twee late doelpunten tegen Wolfsburg</title>
"Wed, 17 Feb 2016 20:49:00 GMT","http://www.volkskrant.nl/economie/grootste-bank-ter-wereld-verdacht-van-internationaal-witwassen~a4246802/
       ",VK:Buitenland,<title>Grootste bank ter wereld verdacht van internationaal witwassen</title>
"Wed, 17 Feb 2016 19:08:00 GMT","http://www.volkskrant.nl/buitenland/lukt-het-de-grieken-om-de-grenzen-te-controleren~a4246760/
       ",VK:Buitenland,<title>Lukt het de Grieken om de grenzen te controleren?</title>
"Wed, 17 Feb 2016 18:30:00 GMT","http://www.volkskrant.nl/buitenland/hoogste-eis-ooit-in-ontnemingszaak-89-miljoen~a4246685/
       ",VK:Buitenland,<title>Hoogste eis ooit in ontnemingszaak: 89 miljoen</title>
"Wed, 17 Feb 2016 18:21:00 GMT","http://www.volkskrant.nl/buitenland/premier-jantsenjoek-gooit-coalitie-in-oekraine-op-de-schop~a4246467/
       ",VK:Buitenland,<title>Premier Jantsenjoek gooit coalitie in Oekraïne op de schop</title>
"Wed, 17 Feb 2016 17:27:00 GMT","http://www.volkskrant.nl/buitenland/justitie-curacao-schotte-was-marionet-van-gokbaas~a4246677/
       ",VK:Buitenland,<title>Justitie Curaçao: Schotte was marionet van gokbaas</title>
